model,score,rating_q025,rating_q975,CI,avg_tokens,date
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v13-1500,10.49,9.06,11.5,"(-1.43, +1.01)",588.0,2024-11-15
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_1500,10.33,9.21,11.6,"(-1.12, +1.27)",596.0,2024-11-15
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v11_1500,9.63,8.32,10.64,"(-1.31, +1.01)",599.0,2024-11-15
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v4,9.55,8.25,10.82,"(-1.30, +1.27)",569.0,2024-11-15
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v2,9.47,8.35,10.53,"(-1.12, +1.06)",578.0,2024-11-15
ta_v2_rejected_noneed_tuluv2_dpo_2048_default_template_bsz1_acc8_v2,9.47,8.38,10.53,"(-1.09, +1.06)",624.0,2024-11-15
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v13,9.45,8.24,10.44,"(-1.21, +0.99)",582.0,2024-11-15
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v11,9.33,8.18,10.81,"(-1.15, +1.48)",583.0,2024-11-15
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v7,9.17,7.79,10.55,"(-1.38, +1.38)",583.0,2024-11-15
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug,9.16,7.8,10.06,"(-1.36, +0.90)",589.0,2024-11-15
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_1000,9.07,8.01,10.08,"(-1.06, +1.01)",565.0,2024-11-15
ta_rejected_tuluv2_dpo_2048_default_template_bsz1_acc8_v2,9.04,7.91,10.33,"(-1.13, +1.29)",626.0,2024-11-15
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v7_1500,8.94,7.66,10.23,"(-1.28, +1.29)",593.0,2024-11-15
tulu_2048_default_template_trible_rejected_ta_dpo,8.78,7.58,9.93,"(-1.20, +1.15)",577.0,2024-11-15
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_500,8.71,7.41,10.07,"(-1.30, +1.36)",693.0,2024-11-15
ta_v2_chosen_tuluv2_dpo_2048_default_template_bsz1_acc8_v5,8.58,7.37,9.99,"(-1.21, +1.41)",677.0,2024-11-15
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v6_1500,8.56,7.37,9.83,"(-1.19, +1.27)",616.0,2024-11-15
ta_rejected_tuluv2_dpo_2048_default_template_bsz1_acc8_v2_1000,8.39,6.99,9.53,"(-1.40, +1.14)",651.0,2024-11-15
ta_v2_rejected_tuluv2_dpo_2048_default_template_bsz1_acc8_v2,8.25,7.28,9.2,"(-0.97, +0.95)",709.0,2024-11-15
ta_v2_rejected_tuluv2_dpo_2048_default_template_bsz1_acc8_v4,8.25,7.4,9.4,"(-0.85, +1.15)",825.0,2024-11-15
ta_v2_rejected_tuluv2_dpo_2048_default_template_bsz1_acc8,8.2,6.79,9.23,"(-1.41, +1.03)",648.0,2024-11-15
glan_v2_8b_2048_default_template_9490,8.06,6.95,9.18,"(-1.11, +1.12)",384.0,2024-11-15
ta_rejected_tuluv2_dpo_2048_default_template_bsz1_acc8_1500,8.03,6.98,9.22,"(-1.05, +1.19)",692.0,2024-11-15
ta_v2_rejected_noneed_length_tuluv2_dpo_2048_default_template_bsz1_acc8_v2_1000,7.85,6.92,8.85,"(-0.93, +1.00)",778.0,2024-11-15
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v6,7.8,6.57,8.9,"(-1.23, +1.10)",570.0,2024-11-15
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v3,7.72,6.66,9.1,"(-1.06, +1.38)",748.0,2024-11-15
tulu_2048_default_template_trible_rejected_ta_dpo_1500,7.71,6.6,8.63,"(-1.11, +0.92)",574.0,2024-11-15
tulu-2-dpo-13b,7.64,6.46,8.59,"(-1.18, +0.95)",603.0,2024-11-15
ta_rejected_tuluv2_dpo_2048_default_template_bsz1_acc8,7.57,6.45,8.58,"(-1.12, +1.01)",688.0,2024-11-15
tulu_uf_ta_v2_2048_default_template_dpo_1000,7.56,6.47,8.82,"(-1.09, +1.26)",576.0,2024-11-15
ta_v2_rejected_tuluv2_dpo_2048_default_template_bsz1_acc8_v3,7.52,6.44,8.55,"(-1.08, +1.03)",695.0,2024-11-15
ta_rejected_tuluv2_dpo_2048_default_template_bsz1_acc8_1000,7.48,6.6,8.62,"(-0.88, +1.14)",709.0,2024-11-15
ta_rejected_tuluv2_dpo_2048_default_template_bsz1_acc8_v4,7.33,6.13,8.4,"(-1.20, +1.07)",780.0,2024-11-15
ta_v2_rejected_noneed_length_tuluv2_dpo_2048_default_template_bsz1_acc8_v2_1500,7.27,6.53,8.39,"(-0.74, +1.12)",859.0,2024-11-15
ta_v2_rejected_noneed_length_tuluv2_dpo_2048_default_template_bsz1_acc8_v2,7.25,6.18,8.2,"(-1.07, +0.95)",903.0,2024-11-15
tulu_v2_8b_2048_default_template_dpo,7.05,6.2,8.01,"(-0.85, +0.96)",428.0,2024-11-15
tulu_v2_8b_base_template_dpo,6.87,5.97,8.04,"(-0.90, +1.17)",496.0,2024-11-15
tulu_uf_ta_v2_2048_default_template_dpo_1500,6.61,5.53,7.75,"(-1.08, +1.14)",540.0,2024-11-15
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v15_1500,6.1,2.4,9.0,"(-3.70, +2.90)",623.0,2024-11-15
tulu_2048_default_template_trible_uf_dpo,5.99,4.91,7.03,"(-1.08, +1.04)",396.0,2024-11-15
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v8_1500,5.65,4.64,6.59,"(-1.01, +0.94)",409.0,2024-11-15
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v8,5.54,4.67,6.62,"(-0.87, +1.08)",405.0,2024-11-15
ta_v2_rejected_tuluv2_dpo_2048_default_template_bsz1_acc8_v5,5.48,4.66,6.35,"(-0.82, +0.87)",608.0,2024-11-15
tulu_v2_8b_bsz64_default_template_dpo,5.36,4.5,6.09,"(-0.86, +0.73)",449.0,2024-11-15
tulu_2048_default_template_trible_chosen_ta_dpo,5.34,4.58,6.07,"(-0.76, +0.73)",716.0,2024-11-15
ta_rejected_tuluv2_dpo_2048_default_template_bsz1_acc8_v2_500,5.1,4.17,5.77,"(-0.93, +0.67)",641.0,2024-11-15
tulu_2048_default_template_trible_chosen_ta_dpo_1500,4.71,3.73,5.83,"(-0.98, +1.12)",548.0,2024-11-15
ta_chosen_tuluv2_dpo_2048_default_template,4.69,4.04,5.33,"(-0.65, +0.64)",758.0,2024-11-15
tulu_lora_sft_base_template_8b,4.47,3.69,5.25,"(-0.78, +0.78)",458.0,2024-11-15
ta_chosen_tuluv2_dpo_2048_default_template_bsz1_acc8_v2,4.11,3.37,4.87,"(-0.74, +0.76)",545.0,2024-11-15
tulu_v2_8b_2048_default_template_sft,4.1,3.31,4.84,"(-0.79, +0.74)",441.0,2024-11-15
tulu_lora_sft_default_template_8b,4.08,3.34,4.79,"(-0.74, +0.71)",444.0,2024-11-15
ta_v2_chosen_tuluv2_dpo_2048_default_template_bsz1_acc8_v2,4.02,3.26,4.76,"(-0.76, +0.74)",541.0,2024-11-15
bitnet_glanchat_v2.1_8b_2048_default_template_sft_checkpoint-3500,3.92,3.25,4.69,"(-0.67, +0.77)",971.0,2024-11-15
ta_rejected_tuluv2_dpo_2048_default_template_bsz1_acc8_v3,3.61,2.81,4.23,"(-0.80, +0.62)",489.0,2024-11-15
tulu-dpo-llama3-8b-base,3.18,2.47,3.75,"(-0.71, +0.57)",2062.0,2024-11-15
tulu-lora-sft-llama3-8b-base,2.05,1.68,2.67,"(-0.37, +0.62)",2389.0,2024-11-15
ta_chosen_tuluv2_merge_dpo_2048_default_template,0.94,0.61,1.26,"(-0.33, +0.32)",1385.0,2024-11-15
Meta-Llama-3.1-8B,0.76,0.5,1.05,"(-0.26, +0.29)",1616.0,2024-11-15
bitnet_glan2_2048_default_template_sft_checkpoint-3000,0.59,0.32,0.89,"(-0.27, +0.30)",1129.0,2024-11-15
glan_dpo_v0.1_8b_2048_default_template_dpo_glanchatv2.1_ckpt9918_dpo_epoch2_checkpoint-1168,0.0,0.0,0.01,"(-0.00, +0.01)",256.0,2024-11-15
