model,score,rating_q025,rating_q975,CI,avg_tokens,date
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v10_1500,60.78,59.14,63.16,"(-1.64, +2.38)",627.0,2024-09-28
ta_rejected_tuluv2_dpo_2048_default_template_bsz1_acc8_v2,60.64,58.53,62.18,"(-2.11, +1.54)",610.0,2024-09-28
tulu_2048_default_template_trible_rejected_ta_dpo_1500,60.53,58.86,62.38,"(-1.67, +1.85)",563.0,2024-09-28
tulu_2048_default_template_trible_rejected_ta_dpo,59.39,56.87,60.84,"(-2.52, +1.45)",594.0,2024-09-28
ta_v2_rejected_noneed_length_tuluv2_dpo_2048_default_template_bsz1_acc8_v2_1000,59.26,57.73,61.6,"(-1.53, +2.34)",758.0,2024-09-28
tulu_uf_ta_v2_2048_default_template_dpo_1500,59.25,57.5,60.78,"(-1.75, +1.53)",551.0,2024-09-28
ta_rejected_tuluv2_dpo_2048_default_template_bsz1_acc8_v2_1000,59.15,56.96,60.85,"(-2.19, +1.70)",638.0,2024-09-28
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v9,58.12,56.09,60.62,"(-2.03, +2.50)",622.0,2024-09-28
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v6_1500,57.99,56.44,59.35,"(-1.55, +1.36)",602.0,2024-09-28
Meta-Llama-3.1-70B-Instruct,57.34,54.78,59.64,"(-2.56, +2.30)",677.0,2024-09-28
ta_v2_rejected_noneed_length_tuluv2_dpo_2048_default_template_bsz1_acc8_v2,57.23,55.16,59.72,"(-2.07, +2.49)",882.0,2024-09-28
ta_v2_rejected_noneed_length_tuluv2_dpo_2048_default_template_bsz1_acc8_v2_1500,56.7,54.85,58.75,"(-1.85, +2.05)",936.0,2024-09-28
ta_rejected_tuluv2_dpo_2048_default_template_bsz1_acc8,56.64,54.61,58.51,"(-2.03, +1.87)",694.0,2024-09-28
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v14,56.59,54.59,58.14,"(-2.00, +1.55)",562.0,2024-09-28
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v6,56.53,54.6,58.41,"(-1.93, +1.88)",576.0,2024-09-28
ta_v2_rejected_tuluv2_dpo_2048_default_template_bsz1_acc8_v2,56.29,54.63,58.71,"(-1.66, +2.42)",718.0,2024-09-28
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v3,56.25,54.37,57.8,"(-1.88, +1.55)",733.0,2024-09-28
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v2,56.1,54.02,58.01,"(-2.08, +1.91)",578.0,2024-09-28
ta_rejected_tuluv2_dpo_2048_default_template_bsz1_acc8_1000,56.09,54.04,57.69,"(-2.05, +1.60)",703.0,2024-09-28
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v9,55.81,53.35,57.96,"(-2.46, +2.15)",604.0,2024-09-28
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug,55.43,53.32,57.57,"(-2.11, +2.14)",581.0,2024-09-28
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v5_1500,55.33,53.48,57.15,"(-1.85, +1.82)",668.0,2024-09-28
Yi-1.5-9B-Chat,55.03,53.12,56.48,"(-1.91, +1.45)",843.0,2024-09-28
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v9-1500,54.61,52.98,56.53,"(-1.63, +1.92)",604.0,2024-09-28
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v10,54.53,52.01,56.98,"(-2.52, +2.45)",631.0,2024-09-28
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v4-1500,54.38,52.48,56.28,"(-1.90, +1.90)",590.0,2024-09-28
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v7,54.37,52.75,56.14,"(-1.62, +1.77)",556.0,2024-09-28
ta_rejected_tuluv2_dpo_2048_default_template_bsz1_acc8_1500,54.21,52.7,56.48,"(-1.51, +2.27)",713.0,2024-09-28
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v10,54.17,52.59,55.82,"(-1.58, +1.65)",625.0,2024-09-28
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v4,54.13,51.6,56.2,"(-2.53, +2.07)",583.0,2024-09-28
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v11,53.78,51.47,55.94,"(-2.31, +2.16)",578.0,2024-09-28
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v11_1500,53.08,50.74,55.06,"(-2.34, +1.98)",602.0,2024-09-28
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v7_1500,52.23,51.09,54.44,"(-1.14, +2.21)",604.0,2024-09-28
ta_v2_chosen_tuluv2_dpo_2048_default_template_bsz1_acc8_v2,51.73,49.51,53.78,"(-2.22, +2.05)",552.0,2024-09-28
ta_chosen_tuluv2_dpo_2048_default_template_bsz1_acc8_v2,51.7,50.13,53.79,"(-1.57, +2.09)",557.0,2024-09-28
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v5,51.56,49.21,53.74,"(-2.35, +2.18)",586.0,2024-09-28
ta_rejected_tuluv2_dpo_2048_default_template_bsz1_acc8_v2_500,50.75,48.83,52.84,"(-1.92, +2.09)",634.0,2024-09-28
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v15,50.56,48.51,52.03,"(-2.05, +1.47)",558.0,2024-09-28
gpt4_1106_preview,50.0,50.0,50.0,"(-0.00, +0.00)",0.0,2024-09-28
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v15_1500,49.75,47.91,51.97,"(-1.84, +2.22)",592.0,2024-09-28
uf_llama3.1_instruct_dpo_2048_job,48.57,46.61,50.9,"(-1.96, +2.33)",628.0,2024-09-28
tulu_2048_default_template_trible_chosen_ta_dpo,48.31,46.59,50.34,"(-1.72, +2.03)",693.0,2024-09-28
Meta-Llama-3.1-8B-Instruct,47.94,46.01,50.58,"(-1.93, +2.64)",755.0,2024-09-28
uf_llama3.1_instruct_dpo_2048_trible,46.97,45.4,49.21,"(-1.57, +2.24)",614.0,2024-09-28
Yi-34B-Chat,42.7,40.8,44.28,"(-1.90, +1.58)",753.0,2024-09-28
gemma-2-27b-it,40.96,38.94,43.05,"(-2.02, +2.09)",1662.0,2024-09-28
Qwen2-7B-Instruct,39.4,37.27,41.43,"(-2.13, +2.03)",579.0,2024-09-28
Qwen2-72B-Instruct,30.68,28.41,32.17,"(-2.27, +1.49)",518.0,2024-09-28
tulu-2-dpo-70b,27.79,25.89,29.59,"(-1.90, +1.80)",660.0,2024-09-28
tulu-2-dpo-13b,21.52,19.95,23.21,"(-1.57, +1.69)",603.0,2024-09-28
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v8_1500,9.1,8.17,10.21,"(-0.93, +1.11)",413.0,2024-09-28
tulu_v2_8b_2048_default_template_sft,8.6,7.7,9.7,"(-0.90, +1.10)",425.0,2024-09-28
tulu_v2_8b_2048_default_template_dpo,8.17,7.09,9.14,"(-1.08, +0.97)",442.0,2024-09-28
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v8,7.79,6.8,8.53,"(-0.99, +0.74)",407.0,2024-09-28
Meta-Llama-3.1-8B,0.36,0.18,0.58,"(-0.18, +0.22)",1628.0,2024-09-28
